"id","en","ar"

//footer 
footer-subscribe-title,Join Qetah Family,انضم إلى عائلة قطة
footer-subscribe-desc,We'll send you a nice letter once a week. No spam.,سوف نرسل لك رسالة لطيفة مرة في الأسبوع. لا بريد مزعج.
subscribe-button,SUBMIT,إرسال
footer-logo,Logo,شعار
footer-description,The only way to do great work is to love what you do.,الطريقة الوحيدة لإنجاز عمل رائع هي أن تحب ما تفعله.
footer-privacy-policy,Privacy Policy,سياسة الخصوصية
about-refunds-policy,Exchange & Refund,استبدال ورد
about-terms,Terms & Conditions,الشروط والأحكام
tooltip-phone,+97450455909,٩٧٤٥٠٤٥٥٩٠٩
tooltip-email,info@qetah.qa,info@qetah.qa
footer-copyright,© 2022 Qetah.Qa All Rights Reserved,جميع الحقوق محفوظة © ٢٠٢٢
connect-facebook,Facebook,فيسبوك
connect-twitter,Twitter,تويتر
connect-google,Google,جوجل
