"id","en","ar"
//contact us
contact_title,Contact Us,اتصل بنا
contact_us_paragraph,"At Qetah, we value your feedback and inquiries. Whether you have questions about our products, need assistance with an order, or want to share your thoughts, our dedicated team is here to assist you. You can reach us via email at support@example.com or by phone at (123) 456-7890. For more personalized assistance, feel free to visit our office located at 123 Main Street, Your City, Your State, 12345. Your satisfaction is our priority, and we look forward to helping you make the most of your shopping experience with us!","في قيتاح، نحن نقدر ملاحظاتك واستفساراتك. سواء كان لديك أسئلة حول منتجاتنا، أو تحتاج إلى مساعدة في طلبك، أو ترغب في مشاركة أفكارك، فإن فريقنا المخصص هنا لمساعدتك. يمكنك التواصل معنا عبر البريد الإلكتروني على support@example.com أو عبر الهاتف على (123) 456-7890. لمزيد من المساعدة الشخصية، لا تتردد في زيارة مكتبنا الواقع في 123 الشارع الرئيسي، مدينتك، ولايتك، 12345. رضاك هو أولويتنا، ونتطلع إلى مساعدتك في الاستفادة القصوى من تجربتك التسوق معنا!"
offices_title,Offices,المكاتب
office_1,"Akshya Nagar 1st Block 1st Cross, Rammurthy nagar, Bangalore-560016","عنوان المكتب الأول باللغة العربية"
office_2,"Akshya Nagar 1st Block 10th Cross, Rammurthy nagar, Bangalore-560016","عنوان المكتب الثاني باللغة العربية"
email_title,Email,البريد الإلكتروني
email_1,info@gmail.com,البريد الأول
email_2,qetah@gmail.com,البريد الثاني
get_in_touch,Get in Touch,ابقى على تواصل
get_in_touch_paragraph","We are here to help! If you have any questions, concerns, or feedback, please dont hesitate to reach out. You can contact us through our email at support@example.com or call us at (123) 456-7890. Our team is available to assist you from 9 AM to 5 PM, Monday through Friday. For any urgent inquiries, feel free to visit us at our office located at 123 Main Street, Your City, Your State, 12345. Your input is invaluable, and we look forward to connecting with you soon!","نحن هنا للمساعدة! إذا كان لديك أي أسئلة أو استفسارات أو ملاحظات، فلا تتردد في التواصل معنا. يمكنك الاتصال بنا عبر البريد الإلكتروني على support@example.com أو الاتصال بنا على (123) 456-7890. فريقنا متاح لمساعدتك من الساعة 9 صباحًا حتى 5 مساءً، من الإثنين إلى الجمعة. لأي استفسارات عاجلة، لا تتردد في زيارتنا في مكتبنا الواقع في 123 الشارع الرئيسي، مدينتك، ولايتك، 12345. مدخلاتك لا تقدر بثمن، ونتطلع إلى التواصل معك قريبًا!"
terms_label,"Checkout our Terms and Conditions and Privacy Policy.","راجع شروطنا وسياسات الخصوصية."
terms_link,Terms and Conditions,الشروط والأحكام
privacy_link,Privacy Policy,سياسة الخصوصية
